City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Palmer,US,42.1584,-72.3287,21.76,42,0,5.75,clear sky
1,Aloleng,PH,16.1307,119.7824,76.53,78,3,5.99,clear sky
2,Lithgow,AU,-33.4833,150.15,55.71,91,64,6.49,broken clouds
3,Fresnillo,MX,23.1667,-102.8833,56.75,35,95,17.85,overcast clouds
4,Krasnoselkup,RU,65.7,82.4667,2.7,98,76,10.45,broken clouds
5,Rikitea,PF,-23.1203,-134.9692,78.44,74,100,8.84,overcast clouds
6,Hilo,US,19.7297,-155.09,78.8,72,0,8.05,clear sky
7,Albany,US,42.6001,-73.9662,17.58,48,6,5.7,clear sky
8,Jamestown,US,42.097,-79.2353,20.52,29,0,5.75,clear sky
9,Grindavik,IS,63.8424,-22.4338,41.47,87,75,44.87,light intensity drizzle rain
10,Port Alfred,ZA,-33.5906,26.891,74.91,88,15,13.65,few clouds
11,Busselton,AU,-33.65,115.3333,73.04,44,54,10.25,broken clouds
12,Tucurui,BR,-3.7661,-49.6725,80.78,85,40,3.22,scattered clouds
13,Chara,RU,56.9064,118.2631,-9.27,85,77,0.51,broken clouds
14,Saldanha,ZA,-33.0117,17.9442,69.55,71,0,9.08,clear sky
15,Saint-Philippe,RE,-21.3585,55.7679,80.19,87,62,17.36,light rain
16,Bandarbeyla,SO,9.4942,50.8122,76.37,74,99,21.05,overcast clouds
17,Bredasdorp,ZA,-34.5322,20.0403,72.28,83,68,14.97,broken clouds
18,Cherskiy,RU,68.75,161.3,-49.18,100,80,4.07,broken clouds
19,Provideniya,RU,64.3833,-173.3,4.23,96,100,15.17,light snow
20,Prieska,ZA,-29.6641,22.7474,77.16,47,88,14.54,overcast clouds
21,Sabang,ID,5.8933,95.3214,81.18,71,38,3.98,scattered clouds
22,Nikolskoye,RU,59.7035,30.7861,27.39,97,94,5.82,overcast clouds
23,Vila Velha,BR,-20.3297,-40.2925,82.44,81,20,9.22,few clouds
24,Olafsvik,IS,64.8945,-23.7142,39.24,97,92,48.3,heavy intensity rain
25,Cape Town,ZA,-33.9258,18.4232,75.11,64,0,1.01,clear sky
26,Udachnyy,RU,66.4167,112.4,-11.54,99,100,4.41,overcast clouds
27,Bethel,US,41.3712,-73.414,23.05,51,0,5.75,clear sky
28,Montrose,US,38.4166,-108.2673,26.37,93,100,3.31,snow
29,Punta Arenas,CL,-53.15,-70.9167,68.11,34,75,25.32,broken clouds
30,Kodiak,US,57.79,-152.4072,44.11,76,100,28.77,light rain
31,Ushuaia,AR,-54.8,-68.3,65.82,51,75,11.5,broken clouds
32,Kaitangata,NZ,-46.2817,169.8464,61.93,60,14,9.55,few clouds
33,Butaritari,KI,3.0707,172.7902,81.16,70,99,13.18,overcast clouds
34,Rio Gallegos,AR,-51.6226,-69.2181,67.69,49,39,11.01,scattered clouds
35,Severo-Kurilsk,RU,50.6789,156.125,28.49,82,97,8.77,overcast clouds
36,Chapais,CA,49.7834,-74.8492,1.62,88,74,9.06,broken clouds
37,Bengkulu,ID,-3.8004,102.2655,74.5,90,100,4.81,moderate rain
38,Te Anau,NZ,-45.4167,167.7167,60.94,67,24,0.49,few clouds
39,Mataura,NZ,-46.1927,168.8643,56.48,72,92,6.58,overcast clouds
40,Hermanus,ZA,-34.4187,19.2345,72.81,84,3,16.06,clear sky
41,Atuona,PF,-9.8,-139.0333,78.93,75,16,24.25,few clouds
42,Yulara,AU,-25.2406,130.9889,73.24,94,0,6.91,clear sky
43,North Bend,US,43.4065,-124.2243,54.25,90,0,11.5,clear sky
44,Notodden,NO,59.5594,9.2585,30.76,87,76,1.77,broken clouds
45,Catamarca,AR,-28.4696,-65.7852,96.04,44,68,10.0,broken clouds
46,Yellowknife,CA,62.456,-114.3525,-19.71,67,15,1.99,few clouds
47,Ilulissat,GL,69.2167,-51.1,8.62,72,100,19.57,light snow
48,Puerto Ayora,EC,-0.7393,-90.3518,82.36,79,45,8.16,scattered clouds
49,Carnarvon,AU,-24.8667,113.6333,78.87,61,55,11.5,broken clouds
50,Vaini,TO,-21.2,-175.2,80.87,71,66,15.19,broken clouds
51,Avarua,CK,-21.2078,-159.775,78.85,94,100,18.41,overcast clouds
52,Yar-Sale,RU,66.8333,70.8333,4.44,96,84,12.35,broken clouds
53,Port Elizabeth,ZA,-33.918,25.5701,77.09,85,61,7.54,broken clouds
54,Tautira,PF,-17.7333,-149.15,82.0,76,100,8.52,light rain
55,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,74,0,14.97,clear sky
56,Tambovka,RU,50.0969,128.0489,-18.29,100,40,0.56,scattered clouds
57,Nanortalik,GL,60.1432,-45.2371,15.71,67,65,6.76,broken clouds
58,Cayenne,GF,4.9333,-52.3333,77.04,91,0,4.0,clear sky
59,Esperance,AU,-33.8667,121.9,66.04,82,95,7.09,overcast clouds
60,Norman Wells,CA,65.282,-126.8329,-19.97,95,87,6.06,overcast clouds
