,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Aloleng,PH,76.53,clear sky,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
5,Rikitea,PF,78.44,overcast clouds,-23.1203,-134.9692,People ThankYou
6,Hilo,US,78.8,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
10,Port Alfred,ZA,74.91,few clouds,-33.5906,26.891,The Halyards Hotel
11,Busselton,AU,73.04,broken clouds,-33.65,115.3333,Observatory Guest House
12,Tucurui,BR,80.78,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
15,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
16,Bandarbeyla,SO,76.37,overcast clouds,9.4942,50.8122,JABIR HOTEL
17,Bredasdorp,ZA,72.28,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
20,Prieska,ZA,77.16,overcast clouds,-29.6641,22.7474,Avenue GuestHouse
21,Sabang,ID,81.18,scattered clouds,5.8933,95.3214,Hotel Citra
23,Vila Velha,BR,82.44,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
25,Cape Town,ZA,75.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
33,Butaritari,KI,81.16,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
37,Bengkulu,ID,74.5,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
40,Hermanus,ZA,72.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
41,Atuona,PF,78.93,few clouds,-9.8,-139.0333,Villa Enata
42,Yulara,AU,73.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
48,Puerto Ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
49,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
50,Vaini,TO,80.87,broken clouds,-21.2,-175.2,Keleti Beach Resort
51,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
53,Port Elizabeth,ZA,77.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
54,Tautira,PF,82.0,light rain,-17.7333,-149.15,Pension Oaoa
55,Arraial Do Cabo,BR,80.46,clear sky,-22.9661,-42.0278,Pousada Porto Praia
58,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
61,Bambous Virieux,MU,82.65,light rain,-20.3428,57.7575,Casa Tia Villa
64,Canela,BR,81.25,moderate rain,-29.3656,-50.8156,Grande Hotel Canela
67,Hithadhoo,MV,80.71,overcast clouds,-0.6,73.0833,Scoop Guest House
68,Mahebourg,MU,82.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
73,Mareeba,AU,73.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
76,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
77,El Rosario,MX,77.2,clear sky,24.2556,-107.1828,Mi casa
80,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
84,Takoradi,GH,79.97,clear sky,4.8845,-1.7554,Raybow International Hotel
87,Alofi,NU,81.37,broken clouds,-19.0595,-169.9187,Taloa Heights
90,Jacareacanga,BR,82.58,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
91,Padang,ID,76.55,overcast clouds,-0.9492,100.3543,Mercure Padang
92,Kruisfontein,ZA,74.88,few clouds,-34.0033,24.7314,Oyster Bay House Rental
93,Yenagoa,NG,79.47,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
94,Lorengau,PG,80.62,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
98,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
101,Kapaa,US,80.47,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
106,Vanimo,PG,76.95,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
111,Chuy,UY,80.04,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
112,Poso,ID,75.43,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
113,Hobyo,SO,79.03,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
114,Kavaratti,IN,79.7,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
117,Moron,AR,82.09,light rain,-34.6534,-58.6198,Hotel Morón
123,Mahibadhoo,MV,80.51,overcast clouds,3.7833,72.9667,Omadhoo Inn
124,High Rock,BS,78.82,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
125,Gunjur,GM,75.27,overcast clouds,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
126,Mangochi,MW,70.03,few clouds,-14.4782,35.2645,Fort Johnstone Hotel
128,Tevaitoa,PF,80.42,moderate rain,-16.7833,-151.5,Hôtel Raiatea Lodge
137,El Alto,PE,78.46,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
141,Mar Del Plata,AR,80.1,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
142,Xai-Xai,MZ,73.04,light rain,-25.0519,33.6442,Complexo da Familia
143,Sao Filipe,CV,73.22,overcast clouds,14.8961,-24.4956,Hotel Xaguate
144,Kavieng,PG,82.78,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
145,Rio Grande,BR,86.11,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
147,Farafenni,GM,84.58,overcast clouds,13.5667,-15.6,Eddy's Hotel
151,Jibuti,DJ,74.62,few clouds,11.5,42.5,Orchid Main Camp Goubet
152,Epe,NG,76.01,scattered clouds,6.5841,3.9834,MAGVILLE HOTEL
153,Bambanglipuro,ID,75.56,overcast clouds,-7.95,110.2833,Puri Brata
154,Labuhan,ID,76.71,overcast clouds,-6.8844,112.2051,DoubleFAG
155,Pacific Grove,US,70.61,broken clouds,36.6177,-121.9166,Lovers Point Inn
156,Kahului,US,81.66,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
159,Kokopo,PG,77.13,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
166,Finschhafen,PG,78.22,moderate rain,-6.6024,147.8681,Cossam Guest House
173,Vallenar,CL,84.54,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
174,Ilo,PE,72.97,scattered clouds,-17.6394,-71.3375,Torreblanca Hotel
178,Delmas,HT,83.12,few clouds,18.5447,-72.3028,Idéal Villa Hôtel
179,Ghanzi,BW,75.83,broken clouds,-21.5667,21.7833,Ghanzi Farmhouse
180,Castro,BR,73.9,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
185,Sampit,ID,72.75,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
193,East London,ZA,74.59,clear sky,-33.0153,27.9116,Tu Casa
195,Lazaro Cardenas,MX,81.63,overcast clouds,17.9583,-102.2,quinta antigua
196,Bocanda,CI,76.53,few clouds,7.0626,-4.4995,Hôtel les Résidences Mohyé
199,Pisco,PE,77.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
201,Caravelas,BR,79.05,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
202,Murray Bridge,AU,79.12,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
203,Gouyave,GD,78.28,clear sky,12.1646,-61.7296,Rumboat Retreat
204,Bermejo,AR,87.71,scattered clouds,-32.8833,-68.8,Muras Apart Hotel
206,Saint-Pierre,RE,80.28,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
216,Banda Aceh,ID,78.01,broken clouds,5.5577,95.3222,Sulthan Hotel International
222,Ferkessedougou,CI,75.16,clear sky,9.6,-5.2,Hotel Chateau
223,Tam Ky,VN,71.58,few clouds,15.5667,108.4833,Khách Sạn Đông Á
228,Azua,DO,81.39,clear sky,18.4532,-70.7349,Cabañas Sexy Home
229,Port Moresby,PG,76.48,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
232,Dwarka,IN,72.27,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
239,Sinnamary,GF,76.96,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
241,Cidreira,BR,78.8,clear sky,-30.1811,-50.2056,Hotel Castelo
244,Peabiru,BR,82.4,overcast clouds,-23.9128,-52.3431,La visa hotel
245,Port Blair,IN,71.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
246,Parnamirim,BR,80.94,scattered clouds,-5.9156,-35.2628,Pousada Joaci
247,Portel,BR,83.19,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
251,Hambantota,LK,73.69,broken clouds,6.1241,81.1185,Bungalow 63
252,Ko Samui,TH,79.92,overcast clouds,9.5357,99.9357,The Passage
255,Paraibano,BR,78.85,overcast clouds,-6.4331,-43.9836,Casa Pedrosa
257,Carutapera,BR,79.92,scattered clouds,-1.195,-46.02,Lidera
264,Richards Bay,ZA,73.83,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
265,Tubmanburg,LR,72.37,clear sky,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
267,Fare,PF,80.28,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
279,Sibolga,ID,74.97,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
285,Rawson,AR,80.31,clear sky,-43.3002,-65.1023,Hosteria Sampedro
286,Necochea,AR,78.55,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
287,Mitsamiouli,KM,81.18,light rain,-11.3847,43.2844,Foyer ADM
291,Lompoc,US,74.12,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
293,Metro,ID,73.9,moderate rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
298,Tarauaca,BR,79.83,moderate rain,-8.1614,-70.7656,Flat Temporada
300,Souillac,MU,82.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
301,Bitung,ID,74.25,overcast clouds,1.4451,125.1824,K2 Lembeh
305,Bundaberg,AU,75.22,broken clouds,-24.85,152.35,Takalvan Motel
306,Karratha,AU,82.83,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
307,Mindelo,CV,70.7,broken clouds,16.8901,-24.9804,Hotel Gaudi
308,Aquiraz,BR,82.49,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
310,Namatanai,PG,80.76,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
311,Papara,BR,81.0,scattered clouds,-3.9839,-38.7273,Bela vista Maranguape
312,Sao Jose Da Coroa Grande,BR,80.6,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
313,Leona Vicario,MX,82.35,few clouds,20.9667,-87.1917,Don Ros Cabañas y Restaurante
315,Miri,MY,74.37,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
316,Praya,CV,72.14,broken clouds,14.9215,-23.5087,LT Aparthotel
322,Kudahuvadhoo,MV,80.01,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
325,Robertsport,LR,80.46,clear sky,6.7533,-11.3686,Kwepunha Retreat
327,Belmonte,BR,81.1,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
329,Angoche,MZ,75.69,light rain,-16.2325,39.9086,Guest House HESADA
334,Geraldton,AU,82.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
338,Isangel,VU,83.05,clear sky,-19.55,169.2667,Tanna Lodge
340,Rocha,UY,81.3,broken clouds,-34.4833,-54.3333,Hotel Arrarte
343,Sao Sebastiao,BR,79.36,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
346,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
348,General Pico,AR,73.62,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
349,Navsari,IN,70.79,clear sky,20.9524,72.9324,Navsari Vibhag Kelavani Trust
350,Buala,SB,81.72,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
351,Weston,US,83.01,broken clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
354,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
363,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
367,Vao,NC,78.28,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
378,Winneba,GH,79.03,few clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
380,Kaeo,NZ,73.33,broken clouds,-35.1,173.7833,Bushido Lodge
391,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
392,Moranbah,AU,71.22,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
398,Kampong Chhnang,KH,71.28,few clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
402,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
404,San Felipe,VE,81.41,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
406,Mutis,CO,81.07,light rain,6.2262,-77.4044,Paraiso Escondido
407,Cockburn Town,TC,78.69,clear sky,21.4612,-71.1419,Osprey Beach Hotel
411,Ugoofaaru,MV,80.11,overcast clouds,5.6667,73.0,Ungoofaaru Inn
412,Juba,SS,80.13,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
416,Christiana,ZA,75.49,broken clouds,-27.914,25.1611,At-Neli Guesthouse
417,Buin,CL,86.32,clear sky,-33.7333,-70.75,Paihuen
419,Vila Do Maio,CV,72.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
