City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vila,42.0304,-8.1588,41.88,67,0,4.05,PT,2022-01-21 19:42:04
1,Weinan,34.5036,109.5089,31.69,93,34,3.4,CN,2022-01-21 19:42:04
2,Kavieng,-2.5744,150.7967,82.56,74,100,5.35,PG,2022-01-21 19:32:47
3,Cape Town,-33.9258,18.4232,75.11,65,0,1.01,ZA,2022-01-21 19:35:17
4,Provideniya,64.3833,-173.3,3.54,96,100,16.44,RU,2022-01-21 19:35:14
5,Canutama,-6.5339,-64.3831,81.75,87,100,1.28,BR,2022-01-21 19:42:05
6,Hobart,-42.8794,147.3294,58.12,90,20,1.99,AU,2022-01-21 19:34:00
7,Kruisfontein,-34.0033,24.7314,67.95,93,2,1.97,ZA,2022-01-21 19:39:04
8,Vaini,-21.2,-175.2,80.85,70,81,15.21,TO,2022-01-21 19:32:43
9,Busselton,-33.65,115.3333,74.05,43,31,9.06,AU,2022-01-21 19:34:03
10,Ushuaia,-54.8,-68.3,71.22,59,75,8.05,AR,2022-01-21 19:32:48
11,Yellowknife,62.456,-114.3525,-23.28,69,0,5.75,CA,2022-01-21 19:29:50
12,Punta Arenas,-53.15,-70.9167,73.51,25,75,18.41,CL,2022-01-21 19:28:40
13,Mataura,-46.1927,168.8643,55.47,85,89,5.06,NZ,2022-01-21 19:32:45
14,Tema,5.667,-0.0166,82.81,51,11,3.44,GH,2022-01-21 19:42:06
15,Tuktoyaktuk,69.4541,-133.0374,-29.2,68,20,4.61,CA,2022-01-21 19:36:40
16,Carnarvon,-24.8667,113.6333,80.67,57,45,10.36,AU,2022-01-21 19:32:51
17,Penarth,51.4394,-3.1761,43.56,83,100,1.01,GB,2022-01-21 19:42:07
18,Bredasdorp,-34.5322,20.0403,71.28,78,56,16.11,ZA,2022-01-21 19:36:34
19,Kamenka,51.3223,42.7678,27.75,87,99,14.29,RU,2022-01-21 19:42:07
20,Nikolskoye,59.7035,30.7861,28.4,98,92,5.35,RU,2022-01-21 19:36:31
21,Hithadhoo,-0.6,73.0833,80.96,75,92,13.6,MV,2022-01-21 19:36:35
22,Bluff,-46.6,168.3333,55.8,76,100,17.47,NZ,2022-01-21 19:32:43
23,Mar Del Plata,-38.0023,-57.5575,79.09,94,100,1.99,AR,2022-01-21 19:30:22
